vertices	-1
Edges	Count
0	1	52
1	4	100
2	10	222
3	15	338
4	31	612
5	42	884
6	57	1184
7	76	1600
8	104	2249
9	97	2416
10	136	3225
11	142	3775
12	180	5455
13	196	6041
14	239	7724
15	268	8726
16	315	9579
17	340	11183
18	359	12052
19	437	15489
20	430	17824
21	487	19852
22	573	23444
23	668	28858
24	640	29594
25	845	34529
26	737	32572
27	757	40854
28	887	41610
29	858	46854
30	954	47316
31	1227	62660
32	1167	64916
33	1248	79674
34	1245	71960
35	1229	85239
36	1357	84062
37	1584	100467
38	1312	87236
39	1745	128191
40	1312	90992
41	2052	136144
42	1684	134871
43	2167	147431
44	2178	165078
45	2776	192895
46	2065	149226
47	2182	180677
48	2687	211543
49	2245	177700
50	2515	181027
51	2506	200343
52	2737	241589
53	3243	294982
54	3066	248651
55	3482	322875
56	2955	257067
57	3320	289758
58	3264	283902
59	3112	324512
60	4411	392258
61	4002	421743
62	3559	367734
63	4018	414381
64	4145	464260
65	3977	456330
66	5142	542638
67	4344	524377
68	3539	426362
69	4265	537952
70	4931	567634
71	3663	445939
72	5683	652271
73	6849	732108
74	6275	776057
75	6282	773731
76	4551	612648
77	6490	773010
78	6083	795299
79	7457	882785
80	8331	946371
81	8215	954824
82	6416	792678
83	7732	1043838
84	7636	966190
85	6083	889186
86	11765	1326690
87	8503	1177567
88	6296	954736
89	8381	1153639
90	8830	1217216
91	7833	1177322
92	8316	1252788
93	8491	1298708
94	10157	1424975
95	10172	1484238
96	11455	1555292
97	7915	1344155
98	7041	1302932
99	10844	1770240
100	10244	1658849
101	11349	1835841
102	10256	1618843
103	10068	1656582
104	10898	1793180
105	9842	1574058
106	12569	1860675
107	12484	1986609
108	9700	1586413
109	11470	1920804
110	12717	2222805
111	12487	2079269
112	15292	2555207
113	13329	2208707
114	13542	2411721
115	14664	2552035
116	13791	2659799
117	14110	2744896
118	10930	2224559
119	16186	2991492
120	16805	3313552
121	17119	3201519
122	16057	3072901
123	15187	2926090
124	15178	2915952
125	16125	3254880
126	17608	2997402
127	15366	2692843
128	14837	2996847
129	17767	3812889
130	16461	3375453
131	16268	3063888
132	14593	3184051
133	18577	3518228
134	19985	4157015
135	15711	3182891
136	14119	3068584
137	18535	3732974
138	21153	4393633
139	23874	4845096
140	17788	3785262
141	18788	4347357
142	22655	4491429
143	18636	4550993
144	17658	4293832
145	24603	5596796
146	21121	4601401
147	20176	4968626
148	24602	5696599
149	24344	5568127
