vertices	150
Edges	Count
0	32287	7355414
1	31174	7424389
2	19394	6262704
3	1136	85771
4	18294	5317789
5	18745	5332332
6	18383	6225226
7	24098	7148496
8	35406	7401394
9	12428	3321224
10	42937	7217678
11	38596	6849839
12	41198	6895587
13	7185	1387194
14	35928	7355423
15	26881	6849613
16	38682	6941790
17	36187	7171484
18	13059	3548223
19	11305	3017944
20	15470	4560299
21	27813	6573946
22	30574	7079522
23	36597	6964564
24	5232	1086380
25	11153	3281882
26	5318	839935
27	32156	7056731
28	31551	7056737
29	38303	6872816
30	35324	6803844
31	42423	7194483
32	7766	1844088
33	21989	6596722
34	25871	7194687
35	33648	7079737
36	7662	1511804
37	17797	6058672
38	36166	7470370
39	33162	7010548
40	35778	7263660
41	32176	7309643
42	11153	2523008
43	23995	7332413
44	28195	7033538
45	40908	6826837
46	15827	4686586
47	4223	780213
48	541	45229
49	27681	7194479
50	34272	7148495
51	34330	7148713
52	283	25450
53	42855	7355407
54	29793	7424381
55	21118	7247979
56	19769	6075081
57	17587	5958861
58	37002	6987554
59	30359	7562526
60	8403	1895943
61	18736	6019767
62	5134	635093
63	28477	7309428
64	19060	5547807
65	2248	173410
66	383	44931
67	3384	423552
68	3333	321029
69	43316	7125716
70	20563	6448801
71	11929	3594889
72	8904	1171698
73	17883	3898664
74	42568	6826615
75	13138	3578060
76	27226	6803840
77	8204	1367656
78	23282	7194685
79	18379	5793449
80	23116	6596952
81	12339	3614475
82	23648	7424386
83	31384	7309641
84	34037	7263442
85	3897	645732
86	20716	6447887
87	15330	4542717
88	22289	6780630
89	43893	7263447
90	35421	7286441
91	16049	4897718
92	15803	4690401
93	12528	3631373
94	11767	2802201
95	3106	399288
96	37980	6987769
97	21697	7163000
98	33961	6872828
99	26063	7286637
